release_date,0,1,2
1989.0,0,0,1
1990.0,1,0,4
1991.0,0,0,1
1992.0,1,0,2
1993.0,1,1,3
1994.0,3,4,8
1995.0,5,1,10
1996.0,0,3,5
1997.0,8,7,33
1998.0,14,19,63
1999.0,14,21,41
2000.0,8,35,56
2001.0,10,5,20
2002.0,7,7,31
2003.0,47,56,114
2004.0,60,143,347
2005.0,34,72,188
2006.0,220,514,1330
2007.0,374,1110,2690
2008.0,59,93,308
2009.0,299,506,1171
2010.0,284,417,1309
2011.0,436,804,2214
2012.0,1310,2224,5521
2013.0,1156,1651,4778
2014.0,1117,1399,3930
2015.0,1164,1521,4048
2016.0,499,595,1903
2017.0,335,483,1286
